ano_base,uf,ocupacao_principal,qtde_contribuintes,rendimento_tributavel_total,rend_sujeitos_a_tribut_exclusiva,rend_isentos_e_nao_tributaveis,imposto_devido_total,imposto_pago,rend_total,rend_total_por_contrib,pct_isento,pct_tributavel,pct_exclusiva,aliq_efetiva_devida,aliq_efetiva_paga
2020,Acre,Militar da Aeronáutica,77.0,703000000.0,53000000.0,73000000.0,78000000.0,83000000.0,829000000.0,10766233.766233766,0.08805790108564536,0.8480096501809409,0.06393244873341375,0.09408926417370325,0.10012062726176116
2020,Acre,Militar da Marinha,23.0,262000000.0,18000000.0,34000000.0,28000000.0,33000000.0,314000000.0,13652173.913043479,0.10828025477707007,0.8343949044585988,0.05732484076433121,0.08917197452229299,0.10509554140127389
2020,Acre,Militar do Exército,1366.0,9579000000.0,718000000.0,773000000.0,805000000.0,923000000.0,11070000000.0,8103953.147877013,0.06982836495031616,0.8653116531165311,0.06485998193315266,0.07271906052393858,0.08337850045167118
2020,Acre,Motorista e condutor do transporte de passageiros,624.0,1845000000.0,193000000.0,34000000.0,3000000.0,44000000.0,2072000000.0,3320512.8205128205,0.016409266409266408,0.8904440154440154,0.09314671814671814,0.0014478764478764478,0.021235521235521235
2020,Acre,Médico,885.0,25426000000.0,154000000.0,8013000000.0,5117000000.0,4774000000.0,33593000000.0,37958192.09039548,0.2385318369898491,0.7568838746167357,0.004584288393415295,0.15232340070848094,0.14211294019587414
2020,Acre,"Músico, arranjador, regente de orquestra ou coral",12.0,68000000.0,5000000.0,2000000.0,6000000.0,7000000.0,75000000.0,6250000.0,0.02666666666666667,0.9066666666666666,0.06666666666666667,0.08,0.09333333333333334
2020,Acre,Não informado,10369.0,72739000000.0,5924000000.0,23548000000.0,8162000000.0,862000000.0,102211000000.0,9857363.294435335,0.23038616195908465,0.7116553012885111,0.05795853675240434,0.07985441880032482,0.008433534551075716
2020,Acre,Odontólogo,431.0,4461000000.0,269000000.0,425000000.0,536000000.0,461000000.0,5155000000.0,11960556.844547564,0.08244422890397672,0.8653734238603298,0.0521823472356935,0.10397672162948593,0.08942774005819593
2020,Acre,"Operador de instalações de prod, e distribuição de energia",94.0,1081000000.0,252000000.0,79000000.0,164000000.0,161000000.0,1412000000.0,15021276.59574468,0.05594900849858357,0.7655807365439093,0.17847025495750707,0.11614730878186968,0.11402266288951841
2020,Acre,Operador de máquina agropecuária e florestal,19.0,99000000.0,5000000.0,33000000.0,9000000.0,6000000.0,137000000.0,7210526.315789473,0.24087591240875914,0.7226277372262774,0.0364963503649635,0.06569343065693431,0.043795620437956206
